round_epochs,val_loss,val_acc,loss,acc,hidden_layer,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.699422021,0.807221434,0.00296903,0.998896589,3,80,40,15,0,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.433010946,0.807132718,0.003031274,0.998952156,3,100,50,30,0,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.91654477,0.807044003,0.006900062,0.998301223,3,100,40,30,0,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.656717215,0.806999645,0.004321376,0.998721948,3,80,40,15,0,256,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.651128609,0.806822214,0.010292611,0.997769363,3,80,40,15,0,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.957136724,0.806156849,0.005741089,0.998301223,3,75,50,30,0,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,2.090187557,0.806112491,0.005259559,0.998428235,3,80,40,15,0,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.54467014,0.805713272,0.013050683,0.997634414,3,75,50,30,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.883929034,0.805713272,0.010134375,0.997674105,3,80,60,20,0,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.786881788,0.805624556,0.014768168,0.997301009,3,80,40,30,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,2.066333397,0.805580199,0.025479114,0.994935423,3,80,50,30,0,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.769122337,0.805447126,0.002660793,0.998983909,3,80,50,15,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.792724489,0.804737402,0.004994926,0.99849174,3,80,40,15,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.755943084,0.804648687,0.003050923,0.998960095,3,100,60,30,0,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.793549777,0.80420511,0.00304126,0.998912465,3,80,60,20,0,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,ELU
50,1.712881639,0.803761533,0.016550751,0.997007295,3,80,40,30,0,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.979920984,0.803761533,0.006938925,0.99795988,3,80,60,20,0,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.896342965,0.803406671,0.005431225,0.998364729,3,75,50,30,0,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,ELU
50,1.654542046,0.803229241,0.003128684,0.998833083,3,100,40,30,0,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,ELU
