round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,2.160407662,0.795954578,0.003139885,0.998841021,80,40,20,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.559955539,0.795865862,0.003221871,0.998928342,80,40,30,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.192528587,0.795599716,0.003733149,0.998785454,100,60,20,32,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x000002310C9D2C80>
50,1.901744206,0.795200497,0.003583545,0.998777516,80,60,20,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.745688913,0.795156139,0.016630825,0.997086677,75,50,20,32,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<function elu at 0x000002310C9D2C80>
50,1.821288736,0.795111781,0.003223093,0.998904527,80,40,30,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.422454369,0.79475692,0.003296289,0.998888651,75,50,20,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,2.046058874,0.794402058,0.003708652,0.99871401,100,60,30,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.73248574,0.79418027,0.003441489,0.998737825,80,50,30,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function selu at 0x000002310CE2AB70>
50,1.703204333,0.793559262,0.003137187,0.998920404,80,50,15,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.382535853,0.793470546,0.003022502,0.998952156,75,40,20,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.001,<function elu at 0x000002310C9D2C80>
50,1.581672205,0.793426189,0.014741311,0.997213689,80,40,20,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<function relu at 0x000002310C9D2EA0>
50,1.846150122,0.7932044,0.002985604,0.998960095,100,40,15,32,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<function relu at 0x000002310C9D2EA0>
50,1.616874982,0.793115685,0.009480834,0.997348638,75,60,20,256,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x000002310C9D2C80>
50,1.082220802,0.793071327,0.004924505,0.998459987,100,60,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<function elu at 0x000002310C9D2C80>
