round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,third_neuron,fourth_neuron,batch_size,epochs,epochs2,dropout,kernel_initializer,optimizer,lr,activation
50,1.304289844,0.807709368,0.003100155,0.998975971,90,60,30,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.631783407,0.79764017,0.002739108,0.999007724,100,60,30,15,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,10.7859114,0.33081973,10.23477332,0.364768641,75,50,30,20,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.166923909,0.802386444,0.002971733,0.998952156,75,50,40,15,256,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.455915172,0.810991838,0.005188431,0.998650504,90,60,40,15,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.766644796,0.800523421,0.018267044,0.996118216,75,60,40,20,32,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,9.17510287,0.43075763,4.793834268,0.70166623,90,60,30,20,64,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.086240236,0.795555358,0.004550393,0.998602875,100,60,40,20,64,30,50,0,glorot_normal,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,10.78591463,0.33081973,10.19773725,0.36663412,80,60,30,20,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.618537776,0.807753726,0.004492263,0.998658443,90,50,30,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.015603514,0.780695529,0.005640895,0.998261532,80,50,30,15,64,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.269661169,0.778832505,0.003902876,0.998769578,90,60,30,15,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.156416639,0.781316537,0.004396904,0.998642566,80,50,30,20,32,30,50,0,glorot_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.107305448,0.780118879,0.008572793,0.99756297,90,50,30,20,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.0001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.722609993,0.803805891,0.008398866,0.997809054,90,50,30,20,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.319373639,0.80149929,0.003176824,0.998968033,80,50,30,20,256,30,50,0,normal,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,1.957664738,0.809927253,0.004464639,0.99862669,90,60,30,15,256,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.01,<class 'keras.layers.advanced_activations.PReLU'>
50,1.536168038,0.803495387,0.002701482,0.999087106,80,60,30,15,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.001,<class 'keras.layers.advanced_activations.PReLU'>
50,10.78591139,0.33081973,8.35657197,0.480214014,100,50,40,20,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<class 'keras.layers.advanced_activations.PReLU'>
50,1.754161682,0.80979418,0.003089377,0.998968033,100,60,30,20,32,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7fdbc087d898>
50,1.868556852,0.809350603,0.009439842,0.99800751,100,60,30,15,64,30,50,0,he_uniform,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7fdbc087d898>
50,1.564247157,0.804160752,0.00267654,0.999079168,100,50,40,15,64,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7fdbc087d898>
50,1.61278255,0.796886089,0.003888192,0.998777516,75,60,30,20,256,30,50,0,lecun_normal,<class 'keras.optimizers.Adam'>,0.01,<keras.layers.advanced_activations.LeakyReLU object at 0x7fdbc087d898>
50,1.650142442,0.819597232,0.003002426,0.998928342,75,60,30,20,32,30,50,0,he_normal,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7fdbc087d898>
50,9.17510287,0.43075763,7.501638761,0.534582807,75,50,40,15,64,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.1,<keras.layers.advanced_activations.LeakyReLU object at 0x7fdbc087d898>
50,1.26438421,0.777767921,0.003234232,0.998833083,75,60,40,15,256,30,50,0,lecun_uniform,<class 'keras.optimizers.Adam'>,0.001,<keras.layers.advanced_activations.LeakyReLU object at 0x7fdbc087d898>
